# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
10000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0.000134035 5.54e-05
30 0.885 0.0368808 0.0163875
31 0.915 0.944201 0.463338
32 0.945 4.97323 2.97437
33 0.975 8.2575 7.41256
34 1.005 5.63284 10.6292
35 1.035 1.86813 11.7607
36 1.065 0.33441 11.9751
37 1.095 0.0343737 11.9984
38 1.125 0.00212478 11.9999
39 1.155 8.56506e-05 12
40 1.185 9.82474e-06 12
41 1.215 0.000206382 12.0002
42 1.245 0.00332473 12.0031
43 1.275 0.0338457 12.0342
44 1.305 0.20653 12.2331
45 1.335 0.730512 12.9691
46 1.365 1.46445 14.5118
47 1.395 1.64004 16.3162
48 1.425 1.01913 17.4862
49 1.455 0.350728 17.906
50 1.485 0.0672887 17.9899
51 1.515 0.00733811 17.9994
52 1.545 0.00130712 18.0012
53 1.575 0.018859 18.0276
54 1.605 0.209634 18.3329
55 1.635 1.16248 20.0898
56 1.665 3.26277 25.2036
57 1.695 4.70312 32.8428
58 1.725 3.55769 38.8279
59 1.755 1.44387 41.3422
60 1.785 0.320923 41.9203
61 1.815 0.0402111 41.9951
62 1.845 0.0135267 42.0212
63 1.875 0.120418 42.2605
64 1.905 0.599609 43.4907
65 1.935 1.43193 46.5219
66 1.965 1.74173 50.324
67 1.995 1.12621 52.8581
68 2.025 0.400455 53.7865
69 2.055 0.0875986 53.9956
70 2.085 0.0840403 54.2022
71 2.115 0.417096 55.257
72 2.145 1.32938 58.715
73 2.175 2.4209 65.1897
74 2.205 2.50624 72.0787
75 2.235 1.47536 76.2452
76 2.265 0.496611 77.6856
77 2.295 0.111377 78.0172
78 2.325 0.11711 78.3751
79 2.355 0.373513 79.5463
80 2.385 0.700607 81.7993
81 2.415 0.71242 84.1484
82 2.445 0.399655 85.4991
83 2.475 0.15939 86.0511
84 2.505 0.312403 87.1593
85 2.535 1.25954 91.7354
86 2.565 2.96439 102.762
87 2.595 3.8505 117.421
88 2.625 2.78471 128.269
89 2.655 1.13869 132.807
90 2.685 0.301677 134.036
91 2.715 0.182784 134.798
92 2.745 0.323063 136.174
93 2.775 0.404477 137.935
94 2.805 0.303515 139.285
95 2.835 0.192532 140.16
96 2.865 0.394348 141.99
97 2.895 1.14211 147.402
98 2.925 2.02844 157.213
99 2.955 2.06506 167.408
100 2.985 1.22494 173.578
