# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
20000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 8.77009e-05 2.25e-07
29 0.855 0.0020323 5.825e-06
30 0.885 0.0317895 9.9675e-05
31 0.915 0.154765 0.000588075
32 0.945 0.410925 0.00197128
33 0.975 0.736299 0.00460955
34 1.005 1.04661 0.00859402
35 1.035 1.24176 0.0136079
36 1.065 1.37314 0.0194782
37 1.095 1.46061 0.0260793
38 1.125 1.47084 0.0330958
39 1.155 1.46144 0.0404442
40 1.185 1.41094 0.0479119
41 1.215 1.37274 0.05555
42 1.245 1.3573 0.0634797
43 1.275 1.30903 0.0715004
44 1.305 1.24805 0.0795115
45 1.335 1.22297 0.0877268
46 1.365 1.19594 0.0961256
47 1.395 1.17764 0.104763
48 1.425 1.15139 0.113576
49 1.455 1.1344 0.122627
50 1.485 1.12154 0.131949
51 1.515 1.10597 0.141517
52 1.545 1.09196 0.151341
53 1.575 1.09452 0.161575
54 1.605 1.07934 0.172054
55 1.635 1.06485 0.182783
56 1.665 1.0568 0.193825
57 1.695 1.05084 0.205205
58 1.725 1.04234 0.216895
59 1.755 1.03483 0.228908
60 1.785 1.0303 0.241281
61 1.815 1.02376 0.253992
62 1.845 1.02542 0.267148
63 1.875 1.02109 0.280678
64 1.905 1.01926 0.294619
65 1.935 1.02035 0.309019
66 1.965 1.0163 0.323809
67 1.995 1.01115 0.338977
68 2.025 1.01289 0.354632
69 2.055 1.00838 0.370682
70 2.085 1.00593 0.387164
71 2.115 1.0022 0.404061
72 2.145 1.01022 0.421579
73 2.175 1.00922 0.439574
74 2.205 1.00674 0.458022
75 2.235 1.00069 0.476862
76 2.265 1.00094 0.496216
77 2.295 1.00118 0.516091
78 2.325 1.00038 0.536473
79 2.355 0.998259 0.55734
80 2.385 0.99435 0.578658
81 2.415 0.995514 0.600541
82 2.445 0.999777 0.623067
83 2.475 0.998979 0.646131
84 2.505 0.998776 0.669753
85 2.535 0.997555 0.693914
86 2.565 0.992444 0.718524
87 2.595 0.991716 0.743694
88 2.625 0.988627 0.76937
89 2.655 0.988747 0.795639
90 2.685 0.989458 0.822524
91 2.715 0.990003 0.850028
92 2.745 0.990855 0.878168
93 2.775 0.993485 0.907003
94 2.805 0.993117 0.936453
95 2.835 0.993317 0.966543
96 2.865 0.994587 0.997313
97 2.895 0.99381 1.02871
98 2.925 0.993287 1.06073
99 2.955 0.997458 1.09356
100 2.985 0.994396 1.12696
