# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 200
1 0.025875 0 0
2 0.077625 0 0
3 0.129375 0 0
4 0.181125 0 0
5 0.232875 0 0
6 0.284625 0 0
7 0.336375 0 0
8 0.388125 0 0
9 0.439875 0 0
10 0.491625 0 0
11 0.543375 0 0
12 0.595125 0 0
13 0.646875 0 0
14 0.698625 0 0
15 0.750375 0 0
16 0.802125 0 0
17 0.853875 0 0
18 0.905625 4.46574e-05 1.33333e-06
19 0.957375 8.28425e-05 4e-06
20 1.00913 0.000111029 8e-06
21 1.06088 0.000271244 1.86667e-05
22 1.11262 0.000661108 4.66667e-05
23 1.16437 0.00160052 0.000122
24 1.21612 0.00284152 0.00027
25 1.26788 0.00421341 0.00051
26 1.31963 0.00613916 0.000887333
27 1.37137 0.00944338 0.00151533
28 1.42313 0.0131505 0.002454
29 1.47488 0.0176402 0.00381733
30 1.52662 0.0236722 0.005782
31 1.57838 0.0313497 0.00856733
32 1.63012 0.0407039 0.012428
33 1.68187 0.0539166 0.017878
34 1.73363 0.0662731 0.0250147
35 1.78537 0.0845779 0.0346767
36 1.83713 0.109024 0.0478853
37 1.88888 0.137014 0.0654733
38 1.94062 0.165462 0.0879367
39 1.99238 0.19772 0.116242
40 2.04412 0.233333 0.151407
41 2.09587 0.271032 0.194393
42 2.14763 0.301273 0.244568
43 2.19937 0.335693 0.303213
44 2.25112 0.373034 0.371545
45 2.30288 0.408429 0.449824
46 2.35462 0.44217 0.538458
47 2.40638 0.472775 0.637443
48 2.45813 0.501216 0.74697
49 2.50988 0.533838 0.868609
50 2.56162 0.567827 1.00334
51 2.61337 0.6002 1.15157
52 2.66512 0.633029 1.31419
53 2.71688 0.672394 1.49361
54 2.76863 0.716725 1.69223
55 2.82037 0.760489 1.91087
56 2.87212 0.807068 2.15151
57 2.92387 0.856893 2.41641
58 2.97563 0.89959 2.70437
59 3.02738 0.948245 3.0186
60 3.07913 0.982032 3.35534
61 3.13087 1.0145 3.71501
62 3.18262 1.04232 4.09687
63 3.23438 1.06626 4.5004
64 3.28613 1.08162 4.9229
65 3.33788 1.09764 5.36517
66 3.38962 1.1082 5.8257
67 3.44137 1.11885 6.30497
68 3.49312 1.13146 6.80427
69 3.54488 1.13727 7.32108
70 3.59663 1.1454 7.85701
71 3.64838 1.14817 8.40973
72 3.70012 1.15285 8.98038
73 3.75187 1.15625 9.56874
74 3.80363 1.15428 10.1725
75 3.85538 1.15336 10.7922
76 3.90713 1.15321 11.4287
77 3.95887 1.14167 12.0755
