# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
20000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 5.84673e-05 1.5e-07
29 0.855 0.002368 6.675e-06
30 0.885 0.0309173 9.795e-05
31 0.915 0.154472 0.000585425
32 0.945 0.405109 0.00194905
33 0.975 0.739745 0.00459967
34 1.005 1.0343 0.00853727
35 1.035 1.24476 0.0135632
36 1.065 1.37094 0.0194242
37 1.095 1.41617 0.0258244
38 1.125 1.44075 0.0326974
39 1.155 1.4195 0.0398349
40 1.185 1.41326 0.047315
41 1.215 1.35934 0.0548785
42 1.245 1.31901 0.0625845
43 1.275 1.27795 0.0704148
44 1.305 1.24337 0.0783959
45 1.335 1.21957 0.0865882
46 1.365 1.19216 0.0949605
47 1.395 1.17125 0.103551
48 1.425 1.15057 0.112357
49 1.455 1.1306 0.121379
50 1.485 1.12082 0.130695
51 1.515 1.11195 0.140314
52 1.545 1.09542 0.150169
53 1.575 1.08497 0.160314
54 1.605 1.07719 0.170772
55 1.635 1.06841 0.181537
56 1.665 1.06492 0.192664
57 1.695 1.04846 0.204017
58 1.725 1.03863 0.215666
59 1.755 1.03108 0.227635
60 1.785 1.02913 0.239994
61 1.815 1.028 0.252758
62 1.845 1.02437 0.265901
63 1.875 1.02765 0.279518
64 1.905 1.02369 0.29352
65 1.935 1.01674 0.307868
66 1.965 1.01542 0.322646
67 1.995 1.01662 0.337896
68 2.025 1.01284 0.35355
69 2.055 1.01059 0.369635
70 2.085 1.00872 0.386163
71 2.115 1.00621 0.403127
72 2.145 1.00947 0.420633
73 2.175 1.00976 0.438637
74 2.205 1.00441 0.457043
75 2.235 0.997611 0.475825
76 2.265 0.996888 0.4951
77 2.295 0.997459 0.514902
78 2.325 1.00194 0.535315
79 2.355 1.00232 0.556267
80 2.385 0.998946 0.577683
81 2.415 0.995052 0.599556
82 2.445 0.996725 0.622013
83 2.475 0.995854 0.645005
84 2.505 0.994412 0.668524
85 2.535 0.992392 0.69256
86 2.565 0.99402 0.717209
87 2.595 0.992612 0.742402
88 2.625 0.992427 0.768176
89 2.655 0.990733 0.794498
90 2.685 0.991975 0.821451
91 2.715 0.994434 0.849079
92 2.745 0.991535 0.877238
93 2.775 0.990748 0.905993
94 2.805 0.99244 0.935424
95 2.835 0.995457 0.965579
96 2.865 0.991052 0.996238
97 2.895 0.994491 1.02765
98 2.925 0.995741 1.05976
99 2.955 0.995449 1.09252
100 2.985 0.992091 1.12584
