# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
20000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 0 0
29 0.855 0 0
30 0.885 0.00109239 3.225e-06
31 0.915 0.0304444 9.93e-05
32 0.945 0.186323 0.000726475
33 0.975 0.559883 0.00273263
34 1.005 1.06631 0.0067921
35 1.035 1.51484 0.0129086
36 1.065 1.81554 0.0206703
37 1.095 1.94161 0.0294451
38 1.125 1.96558 0.0388217
39 1.155 1.94452 0.0485991
40 1.185 1.87783 0.058538
41 1.215 1.76563 0.0683622
42 1.245 1.69721 0.0782778
43 1.275 1.6288 0.0882578
44 1.305 1.55419 0.0982341
45 1.335 1.50451 0.108341
46 1.365 1.43846 0.118442
47 1.395 1.37089 0.128498
48 1.425 1.3148 0.138561
49 1.455 1.2724 0.148713
50 1.485 1.24463 0.159058
51 1.515 1.21336 0.169555
52 1.545 1.1761 0.180136
53 1.575 1.15476 0.190933
54 1.605 1.13441 0.201947
55 1.635 1.12274 0.21326
56 1.665 1.099 0.224743
57 1.695 1.08769 0.236521
58 1.725 1.07179 0.248541
59 1.755 1.06519 0.260907
60 1.785 1.06017 0.273639
61 1.815 1.05194 0.286699
62 1.845 1.04474 0.300103
63 1.875 1.03487 0.313816
64 1.905 1.0344 0.327964
65 1.935 1.03583 0.342582
66 1.965 1.02669 0.357524
67 1.995 1.02207 0.372856
68 2.025 1.01539 0.388549
69 2.055 1.01188 0.404655
70 2.085 1.00933 0.421192
71 2.115 1.00656 0.438163
72 2.145 1.01091 0.455693
73 2.175 1.0073 0.473654
74 2.205 1.00925 0.492148
75 2.235 1.00379 0.511047
76 2.265 0.999164 0.530366
77 2.295 0.995524 0.550129
78 2.325 0.996981 0.570441
79 2.355 0.996665 0.591275
80 2.385 0.99918 0.612696
81 2.415 0.997748 0.634629
82 2.445 0.998147 0.657118
83 2.475 0.992182 0.680025
84 2.505 0.990252 0.703445
85 2.535 0.992176 0.727476
86 2.565 0.988484 0.751988
87 2.595 0.981782 0.776906
88 2.625 0.984901 0.802485
89 2.655 0.984501 0.828641
90 2.685 0.988751 0.855507
91 2.715 0.99032 0.88302
92 2.745 0.990766 0.911157
93 2.775 0.992822 0.939973
94 2.805 0.9881 0.969275
95 2.835 0.983902 0.999079
96 2.865 0.980255 1.02941
97 2.895 0.984652 1.06051
98 2.925 0.987526 1.09235
99 2.955 0.989337 1.12491
100 2.985 0.984536 1.15798
