# Time-averaged data for fix 3
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
20000 100
1 0.015 0 0
2 0.045 0 0
3 0.075 0 0
4 0.105 0 0
5 0.135 0 0
6 0.165 0 0
7 0.195 0 0
8 0.225 0 0
9 0.255 0 0
10 0.285 0 0
11 0.315 0 0
12 0.345 0 0
13 0.375 0 0
14 0.405 0 0
15 0.435 0 0
16 0.465 0 0
17 0.495 0 0
18 0.525 0 0
19 0.555 0 0
20 0.585 0 0
21 0.615 0 0
22 0.645 0 0
23 0.675 0 0
24 0.705 0 0
25 0.735 0 0
26 0.765 0 0
27 0.795 0 0
28 0.825 9.74455e-06 2.5e-08
29 0.855 0.00180548 5e-06
30 0.885 0.0297148 9.2725e-05
31 0.915 0.154828 0.000581325
32 0.945 0.410279 0.00196235
33 0.975 0.737422 0.00460465
34 1.005 1.03328 0.00853837
35 1.035 1.24519 0.0135661
36 1.065 1.40498 0.0195725
37 1.095 1.44949 0.0261233
38 1.125 1.47699 0.0331692
39 1.155 1.44797 0.0404498
40 1.185 1.39975 0.0478584
41 1.215 1.38007 0.0555373
42 1.245 1.35677 0.0634639
43 1.275 1.3087 0.0714826
44 1.305 1.27068 0.079639
45 1.335 1.2374 0.0879512
46 1.365 1.21368 0.0964745
47 1.395 1.17974 0.105128
48 1.425 1.16069 0.114011
49 1.455 1.14083 0.123114
50 1.485 1.11732 0.132401
51 1.515 1.10446 0.141956
52 1.545 1.09114 0.151772
53 1.575 1.08313 0.161899
54 1.605 1.07002 0.172288
55 1.635 1.06036 0.182972
56 1.665 1.05206 0.193965
57 1.695 1.0451 0.205282
58 1.725 1.0367 0.216909
59 1.755 1.02871 0.228851
60 1.785 1.02012 0.241102
61 1.815 1.01736 0.253733
62 1.845 1.01294 0.266729
63 1.875 1.01424 0.280168
64 1.905 1.01706 0.29408
65 1.935 1.00813 0.308307
66 1.965 1.00852 0.322984
67 1.995 1.00766 0.338099
68 2.025 1.00732 0.353668
69 2.055 1.00337 0.369638
70 2.085 1.00311 0.386074
71 2.115 1.0012 0.402954
72 2.145 0.995297 0.420214
73 2.175 0.995569 0.437965
74 2.205 1.00051 0.456299
75 2.235 0.993999 0.475013
76 2.265 0.993311 0.49422
77 2.295 0.997587 0.514024
78 2.325 1.00011 0.5344
79 2.355 0.995078 0.5552
80 2.385 0.995806 0.576549
81 2.415 0.99153 0.598345
82 2.445 0.989228 0.620633
83 2.475 0.9909 0.643511
84 2.505 0.994239 0.667025
85 2.535 0.993006 0.691076
86 2.565 0.9955 0.715762
87 2.595 0.996998 0.741066
88 2.625 0.992481 0.766842
89 2.655 0.992725 0.793216
90 2.685 0.99007 0.820118
91 2.715 0.988548 0.847582
92 2.745 0.986857 0.875609
93 2.775 0.986019 0.904227
94 2.805 0.983801 0.933401
95 2.835 0.985755 0.963262
96 2.865 0.985413 0.993747
97 2.895 0.987744 1.02495
98 2.925 0.986168 1.05675
99 2.955 0.988739 1.08929
100 2.985 0.985365 1.12238
