# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.05175 0 0
2 0.15525 0 0
3 0.25875 0 0
4 0.36225 0 0
5 0.46575 0 0
6 0.56925 0 0
7 0.67275 0 0
8 0.77625 0 0
9 0.87975 0 0
10 0.98325 0 0
11 1.08675 0 0
12 1.19025 0 0
13 1.29375 0 0
14 1.39725 0 0
15 1.50075 0 0
16 1.60425 0.000241106 4.53333e-05
17 1.70775 0.00144026 0.000346667
18 1.81125 0.00798334 0.002234
19 1.91475 0.0410326 0.0130787
20 2.01825 0.124237 0.0496147
21 2.12175 0.243642 0.128912
22 2.22525 0.356607 0.256501
23 2.32875 0.438623 0.428298
24 2.43225 0.500582 0.642284
25 2.53575 0.54794 0.896919
26 2.63925 0.593782 1.19589
27 2.74275 0.649913 1.5493
28 2.84625 0.703318 1.96106
29 2.94975 0.78596 2.45533
30 3.05325 0.905421 3.06538
31 3.15675 1.02403 3.80286
32 3.26025 1.10273 4.65001
33 3.36375 1.15136 5.59151
34 3.46725 1.17832 6.61551
35 3.57075 1.19711 7.71873
36 3.67425 1.21221 8.9013
37 3.77775 1.21173 10.151
38 3.88125 1.20462 11.4622
39 3.98475 1.1881 12.8252
40 4.08825 1.16148 14.2279
41 4.19175 1.1327 15.6659
42 4.29525 1.10408 17.1374
43 4.39875 1.06868 18.6313
44 4.50225 1.03225 20.1429
45 4.60575 1.01 21.6904
46 4.70925 0.989559 23.2757
47 4.81275 0.971954 24.9019
48 4.91625 0.956411 26.5721
49 5.01975 0.94708 28.2964
50 5.12325 0.943977 30.0865
51 5.22675 0.941454 31.9449
52 5.33025 0.937886 33.8703
53 5.43375 0.943796 35.8838
54 5.53725 0.952805 37.9947
55 5.64075 0.957248 40.1955
56 5.74425 0.964936 42.4961
57 5.84775 0.97071 44.8948
58 5.95125 0.978005 47.3977
59 6.05475 0.984624 50.0062
60 6.15825 0.990253 52.7197
61 6.26175 0.998276 55.5481
62 6.36525 1.005 58.4901
63 6.46875 1.01048 61.5452
64 6.57225 1.0141 64.7103
65 6.67575 1.01956 67.9935
66 6.77925 1.01871 71.3762
67 6.88275 1.02011 74.8679
68 6.98625 1.0193 78.4621
69 7.08975 1.01637 82.1531
70 7.19325 1.01384 85.9432
71 7.29675 1.01194 89.8361
72 7.40025 1.01135 93.8378
73 7.50375 1.00582 97.9294
74 7.60725 1.00448 102.129
75 7.71075 1.0022 106.434
76 7.81425 0.999549 110.844
77 7.91775 1.00047 115.375
78 8.02125 0.997586 120.012
79 8.12475 0.995947 124.762
80 8.22825 0.995611 129.632
81 8.33175 0.995925 134.626
82 8.43525 0.994989 139.741
83 8.53875 0.993694 144.975
84 8.64225 0.994532 150.342
85 8.74575 0.993255 155.831
86 8.84925 0.995399 161.463
87 8.95275 0.996468 167.234
88 9.05625 0.996403 173.138
89 9.15975 0.997838 179.187
90 9.26325 0.999265 185.381
91 9.36675 0.999317 191.715
92 9.47025 0.997983 198.181
93 9.57375 1.00018 204.804
94 9.67725 0.99928 211.566
95 9.78075 1.00199 218.491
96 9.88425 1.00384 225.577
97 9.98775 1.0019 232.798
98 10.0913 1.00187 240.169
99 10.1948 1.00136 247.688
100 10.2982 1.00002 255.351
