# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
1 0.05175 0 0
2 0.15525 0 0
3 0.25875 0 0
4 0.36225 0 0
5 0.46575 0 0
6 0.56925 0 0
7 0.67275 0 0
8 0.77625 0 0
9 0.87975 0 0
10 0.98325 0 0
11 1.08675 0 0
12 1.19025 0 0
13 1.29375 0 0
14 1.39725 5.54456e-05 7.33333e-06
15 1.50075 0.000254229 4.66667e-05
16 1.60425 0.00123514 0.000268667
17 1.70775 0.00420446 0.00111733
18 1.81125 0.0143676 0.00437933
19 1.91475 0.048927 0.0167833
20 2.01825 0.124531 0.051862
21 2.12175 0.223233 0.121324
22 2.22525 0.311825 0.227992
23 2.32875 0.39398 0.375603
24 2.43225 0.458378 0.562973
25 2.53575 0.520508 0.794086
26 2.63925 0.579155 1.07274
27 2.74275 0.633719 1.40205
28 2.84625 0.701097 1.79466
29 2.94975 0.79236 2.27123
30 3.05325 0.902188 2.85258
31 3.15675 1.0034 3.54364
32 3.26025 1.08258 4.33892
33 3.36375 1.13838 5.22877
34 3.46725 1.17013 6.20034
35 3.57075 1.18687 7.24559
36 3.67425 1.19654 8.36164
37 3.77775 1.20344 9.54831
38 3.88125 1.19863 10.7956
39 3.98475 1.18372 12.0937
40 4.08825 1.17037 13.4445
41 4.19175 1.14252 14.8309
42 4.29525 1.11341 16.2489
43 4.39875 1.08421 17.6971
44 4.50225 1.05552 19.174
45 4.60575 1.0283 20.6797
46 4.70925 1.00194 22.2133
47 4.81275 0.978589 23.7778
48 4.91625 0.968985 25.3942
49 5.01975 0.960438 27.0646
50 5.12325 0.948284 28.7819
51 5.22675 0.943994 30.5618
52 5.33025 0.944489 32.4136
53 5.43375 0.94151 34.3318
54 5.53725 0.945199 36.3318
55 5.64075 0.949073 38.4157
56 5.74425 0.954793 40.59
57 5.84775 0.965264 42.868
58 5.95125 0.969587 45.2384
59 6.05475 0.976612 47.71
60 6.15825 0.984182 50.287
61 6.26175 0.989364 52.9652
62 6.36525 0.995503 55.7499
63 6.46875 1.00282 58.6479
64 6.57225 1.00868 61.6566
65 6.67575 1.01613 64.7837
66 6.77925 1.01912 68.0181
67 6.88275 1.01849 71.3503
68 6.98625 1.01775 74.7806
69 7.08975 1.01762 78.3129
70 7.19325 1.01568 81.9424
71 7.29675 1.01367 85.6694
72 7.40025 1.01254 89.4987
73 7.50375 1.01016 93.4263
74 7.60725 1.0104 97.4632
75 7.71075 1.0073 101.598
76 7.81425 1.00095 105.818
77 7.91775 0.999935 110.145
78 8.02125 0.997398 114.575
79 8.12475 0.996022 119.114
80 8.22825 0.993787 123.759
81 8.33175 0.994013 128.522
82 8.43525 0.99428 133.406
83 8.53875 0.993098 138.404
84 8.64225 0.991547 143.516
85 8.74575 0.991604 148.751
86 8.84925 0.995349 154.132
87 8.95275 0.996357 159.646
88 9.05625 0.99899 165.302
89 9.15975 0.999895 171.093
90 9.26325 0.999347 177.013
91 9.36675 0.999057 183.064
92 9.47025 0.998651 189.248
93 9.57375 0.999587 195.573
94 9.67725 1.00061 202.043
95 9.78075 1.0043 208.675
96 9.88425 1.00482 215.452
97 9.98775 1.00598 222.379
98 10.0913 1.0038 229.436
99 10.1948 1.00343 236.636
100 10.2982 1.00213 243.973
