# Time-averaged data for fix 2
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 200
1 0.025875 0 0
2 0.077625 0 0
3 0.129375 0 0
4 0.181125 0 0
5 0.232875 0 0
6 0.284625 0 0
7 0.336375 0 0
8 0.388125 0 0
9 0.439875 0 0
10 0.491625 0 0
11 0.543375 0 0
12 0.595125 0 0
13 0.646875 0 0
14 0.698625 0 0
15 0.750375 0 0
16 0.802125 0 0
17 0.853875 0 0
18 0.905625 0 0
19 0.957375 0 0
20 1.00913 0 0
21 1.06088 0 0
22 1.11262 0 0
23 1.16437 0 0
24 1.21612 0 0
25 1.26788 0 0
26 1.31963 0 0
27 1.37137 0 0
28 1.42313 0 0
29 1.47488 0 0
30 1.52662 0 0
31 1.57838 0 0
32 1.63012 1.24706e-05 1.33333e-06
33 1.68187 3.51452e-05 5.33333e-06
34 1.73363 0.000297104 4.13333e-05
35 1.78537 0.00117208 0.000192
36 1.83713 0.00446866 0.0008
37 1.88888 0.017404 0.00330333
38 1.94062 0.0460722 0.010298
39 1.99238 0.1025 0.0267007
40 2.04412 0.172521 0.05576
41 2.09587 0.262104 0.102172
42 2.14763 0.344166 0.166162
43 2.19937 0.406734 0.245471
44 2.25112 0.451776 0.337757
45 2.30288 0.483835 0.441189
46 2.35462 0.513479 0.555945
47 2.40638 0.533121 0.680386
48 2.45813 0.55128 0.814659
49 2.50988 0.574533 0.960545
50 2.56162 0.591046 1.11688
51 2.61337 0.612755 1.28557
52 2.66512 0.624825 1.46446
53 2.71688 0.649195 1.65763
54 2.76863 0.670584 1.86482
55 2.82037 0.686461 2.08493
56 2.87212 0.716775 2.32327
57 2.92387 0.745387 2.58014
58 2.97563 0.795156 2.86394
59 3.02738 0.860062 3.18168
60 3.07913 0.927595 3.53618
61 3.13087 0.991353 3.92789
62 3.18262 1.05206 4.35744
63 3.23438 1.09372 4.81864
64 3.28613 1.11892 5.30569
65 3.33788 1.15294 5.82348
66 3.38962 1.17238 6.36644
67 3.44137 1.18214 6.93078
68 3.49312 1.19767 7.51985
69 3.54488 1.2095 8.1325
70 3.59663 1.2149 8.76599
71 3.64838 1.2282 9.42497
72 3.70012 1.22706 10.1021
73 3.75187 1.22967 10.7999
74 3.80363 1.23063 11.5175
75 3.85538 1.23004 12.2545
76 3.90713 1.2186 13.0044
77 3.95887 1.21062 13.7692
78 4.01062 1.19844 14.5463
79 4.06237 1.18685 15.3358
80 4.11413 1.17017 16.1341
81 4.16588 1.15001 16.9386
82 4.21763 1.13279 17.7509
83 4.26937 1.1162 18.571
